study_variable,velocity,Fx_N,Fy_N,FR_N,Q_m3_s,mdot_kg_s,Re,outlet_speed_m_s,diameter
velocity,17.0,90.79202768874502,0.0,90.79202768874502,0.005340707511102648,5.340707511102648,340000.0,17.0,
velocity,17.333333333333332,94.38740594785331,0.0,94.38740594785331,0.005445427266222307,5.445427266222307,346666.6666666666,17.333333333333332,
velocity,17.666666666666664,98.05259737704141,0.0,98.05259737704141,0.005550147021341967,5.550147021341967,353333.3333333333,17.666666666666664,
velocity,18.0,101.7876019763093,0.0,101.7876019763093,0.005654866776461627,5.654866776461628,360000.0,18.0,
velocity,18.333333333333332,105.59241974565693,0.0,105.59241974565693,0.005759586531581287,5.759586531581287,366666.6666666666,18.333333333333332,
velocity,18.666666666666664,109.46705068508432,0.0,109.46705068508432,0.0058643062867009465,5.864306286700947,373333.3333333333,18.666666666666664,
velocity,19.0,113.41149479459153,0.0,113.41149479459153,0.0059690260418206065,5.969026041820607,380000.0,19.0,
velocity,19.333333333333332,117.42575207417848,0.0,117.42575207417848,0.006073745796940267,6.073745796940266,386666.6666666666,19.333333333333332,
velocity,19.666666666666664,121.50982252384519,0.0,121.50982252384519,0.006178465552059926,6.178465552059926,393333.3333333333,19.666666666666664,
velocity,20.0,125.66370614359171,0.0,125.66370614359171,0.006283185307179586,6.283185307179585,400000.0,20.0,
diameter,,1.9634954084936205,0.0,1.9634954084936205,0.00019634954084936205,0.19634954084936204,50000.0,10.0,0.005
diameter,,2.5967226777328136,0.0,2.5967226777328136,0.0002596722677732813,0.25967226777328134,57500.0,10.0,0.00575
diameter,,3.3183072403542195,0.0,3.3183072403542195,0.000331830724035422,0.33183072403542196,65000.00000000001,10.0,0.006500000000000001
diameter,,4.1282490963578375,0.0,4.1282490963578375,0.0004128249096357838,0.4128249096357838,72500.0,10.0,0.00725
diameter,,5.026548245743668,0.0,5.026548245743668,0.0005026548245743669,0.5026548245743668,80000.0,10.0,0.008
diameter,,6.013204688511714,0.0,6.013204688511714,0.0006013204688511715,0.6013204688511714,87500.0,10.0,0.00875
diameter,,7.088218424661973,0.0,7.088218424661973,0.0007088218424661973,0.7088218424661973,95000.00000000001,10.0,0.009500000000000001
diameter,,8.251589454194445,0.0,8.251589454194445,0.0008251589454194444,0.8251589454194445,102500.00000000001,10.0,0.010250000000000002
diameter,,9.503317777109126,0.0,9.503317777109126,0.0009503317777109126,0.9503317777109126,110000.00000000001,10.0,0.011000000000000001
diameter,,10.843403393406021,0.0,10.843403393406021,0.001084340339340602,1.0843403393406021,117500.0,10.0,0.01175
diameter,,12.27184630308513,0.0,12.27184630308513,0.001227184630308513,1.227184630308513,125000.0,10.0,0.0125
diameter,,13.788646506146456,0.0,13.788646506146456,0.0013788646506146455,1.3788646506146456,132500.00000000003,10.0,0.013250000000000001
diameter,,15.393804002589988,0.0,15.393804002589988,0.0015393804002589988,1.5393804002589988,140000.00000000003,10.0,0.014000000000000002
diameter,,17.087318792415743,0.0,17.087318792415743,0.0017087318792415743,1.7087318792415742,147500.00000000003,10.0,0.014750000000000003
diameter,,18.8691908756237,0.0,18.8691908756237,0.00188691908756237,1.88691908756237,155000.00000000003,10.0,0.015500000000000003
diameter,,20.73942025221387,0.0,20.73942025221387,0.002073942025221387,2.073942025221387,162500.0,10.0,0.01625
diameter,,22.69800692218626,0.0,22.69800692218626,0.002269800692218626,2.269800692218626,170000.0,10.0,0.017
diameter,,24.74495088554086,0.0,24.74495088554086,0.002474495088554086,2.474495088554086,177500.00000000003,10.0,0.017750000000000002
diameter,,26.880252142277676,0.0,26.880252142277676,0.0026880252142277676,2.6880252142277676,185000.00000000003,10.0,0.018500000000000003
diameter,,29.103910692396703,0.0,29.103910692396703,0.00291039106923967,2.91039106923967,192500.00000000003,10.0,0.019250000000000003
diameter,,31.415926535897945,0.0,31.415926535897945,0.0031415926535897946,3.1415926535897944,200000.00000000003,10.0,0.020000000000000004
diameter,,33.8162996727814,0.0,33.8162996727814,0.0033816299672781397,3.3816299672781396,207500.00000000003,10.0,0.020750000000000005
diameter,,36.305030103047066,0.0,36.305030103047066,0.0036305030103047065,3.6305030103047065,215000.00000000003,10.0,0.021500000000000005
diameter,,38.88211782669493,0.0,38.88211782669493,0.003888211782669493,3.888211782669493,222500.00000000003,10.0,0.022250000000000002
diameter,,41.54756284372503,0.0,41.54756284372503,0.004154756284372503,4.154756284372503,230000.00000000003,10.0,0.023000000000000003
diameter,,44.30136515413734,0.0,44.30136515413734,0.004430136515413734,4.430136515413734,237500.00000000003,10.0,0.023750000000000004
diameter,,47.14352475793184,0.0,47.14352475793184,0.004714352475793184,4.714352475793184,245000.00000000003,10.0,0.024500000000000004
diameter,,50.07404165510857,0.0,50.07404165510857,0.005007404165510858,5.007404165510858,252500.00000000003,10.0,0.025250000000000005
diameter,,53.09291584566752,0.0,53.09291584566752,0.0053092915845667525,5.309291584566752,260000.00000000006,10.0,0.026000000000000006
diameter,,56.20014732960867,0.0,56.20014732960867,0.005620014732960867,5.6200147329608665,267500.00000000006,10.0,0.026750000000000003
diameter,,59.395736106932034,0.0,59.395736106932034,0.0059395736106932035,5.939573610693204,275000.00000000006,10.0,0.027500000000000004
diameter,,62.67968217763763,0.0,62.67968217763763,0.006267968217763763,6.267968217763763,282500.00000000006,10.0,0.028250000000000004
diameter,,66.05198554172543,0.0,66.05198554172543,0.0066051985541725425,6.605198554172542,290000.00000000006,10.0,0.029000000000000005
diameter,,69.51264619919543,0.0,69.51264619919543,0.006951264619919543,6.951264619919543,297500.00000000006,10.0,0.029750000000000006
diameter,,73.06166415004766,0.0,73.06166415004766,0.007306166415004766,7.306166415004766,305000.00000000006,10.0,0.030500000000000006
diameter,,76.6990393942821,0.0,76.6990393942821,0.007669903939428209,7.66990393942821,312500.00000000006,10.0,0.03125000000000001
diameter,,80.42477193189869,0.0,80.42477193189869,0.00804247719318987,8.04247719318987,320000.0,10.0,0.032
diameter,,84.23886176289757,0.0,84.23886176289757,0.008423886176289757,8.423886176289757,327500.0,10.0,0.03275
diameter,,88.14130888727865,0.0,88.14130888727865,0.008814130888727865,8.814130888727865,335000.0,10.0,0.0335
diameter,,92.13211330504194,0.0,92.13211330504194,0.009213211330504194,9.213211330504194,342500.0,10.0,0.03425
diameter,,96.21127501618743,0.0,96.21127501618743,0.009621127501618743,9.621127501618743,350000.0,10.0,0.035
diameter,,100.37879402071513,0.0,100.37879402071513,0.010037879402071515,10.037879402071514,357500.00000000006,10.0,0.035750000000000004
diameter,,104.63467031862507,0.0,104.63467031862507,0.010463467031862506,10.463467031862507,365000.00000000006,10.0,0.036500000000000005
diameter,,108.97890390991722,0.0,108.97890390991722,0.010897890390991722,10.897890390991723,372500.00000000006,10.0,0.037250000000000005
diameter,,113.41149479459156,0.0,113.41149479459156,0.011341149479459156,11.341149479459157,380000.00000000006,10.0,0.038000000000000006
